Provincias	Grupos de edad	Periodo	Total
27 Lugo	De 40 a 44 años	1981	11,46
27 Lugo	De 40 a 44 años	1980	12,26
27 Lugo	De 40 a 44 años	1979	13,1
27 Lugo	De 40 a 44 años	1978	13,1
27 Lugo	De 40 a 44 años	1977	13,81
27 Lugo	De 40 a 44 años	1976	17,14
27 Lugo	De 40 a 44 años	1975	17,9
27 Lugo	De 45 a 49 años	2023	2,32
27 Lugo	De 45 a 49 años	2022	2,67
27 Lugo	De 45 a 49 años	2021	1,15
27 Lugo	De 45 a 49 años	2020	1,49
27 Lugo	De 45 a 49 años	2019	2,07
27 Lugo	De 45 a 49 años	2018	1,72
27 Lugo	De 45 a 49 años	2017	2,03
27 Lugo	De 45 a 49 años	2016	1,12
27 Lugo	De 45 a 49 años	2015	1,19
27 Lugo	De 45 a 49 años	2014	1,02
27 Lugo	De 45 a 49 años	2013	0,47
27 Lugo	De 45 a 49 años	2012	0,39
27 Lugo	De 45 a 49 años	2011	0,55
27 Lugo	De 45 a 49 años	2010	0,79
27 Lugo	De 45 a 49 años	2009	0,87
27 Lugo	De 45 a 49 años	2008	0,87
27 Lugo	De 45 a 49 años	2007	0,56
27 Lugo	De 45 a 49 años	2006	0,25
27 Lugo	De 45 a 49 años	2005	0,34
27 Lugo	De 45 a 49 años	2004	0,26
27 Lugo	De 45 a 49 años	2003	0,09
27 Lugo	De 45 a 49 años	2002	0,46
27 Lugo	De 45 a 49 años	2001	0,47
27 Lugo	De 45 a 49 años	2000	0,49
27 Lugo	De 45 a 49 años	1999	0,1
27 Lugo	De 45 a 49 años	1998	0
27 Lugo	De 45 a 49 años	1997	0
27 Lugo	De 45 a 49 años	1996	0,4
27 Lugo	De 45 a 49 años	1995	0,19
27 Lugo	De 45 a 49 años	1994	0,29
27 Lugo	De 45 a 49 años	1993	0,38
27 Lugo	De 45 a 49 años	1992	0,38
27 Lugo	De 45 a 49 años	1991	0,19
27 Lugo	De 45 a 49 años	1990	0,28
27 Lugo	De 45 a 49 años	1989	0,47
27 Lugo	De 45 a 49 años	1988	0,48
27 Lugo	De 45 a 49 años	1987	0,29
27 Lugo	De 45 a 49 años	1986	0,27
27 Lugo	De 45 a 49 años	1985	0,59
27 Lugo	De 45 a 49 años	1984	0,79
27 Lugo	De 45 a 49 años	1983	0,58
27 Lugo	De 45 a 49 años	1982	0,61
27 Lugo	De 45 a 49 años	1981	0,88
27 Lugo	De 45 a 49 años	1980	0,95
27 Lugo	De 45 a 49 años	1979	0,81
27 Lugo	De 45 a 49 años	1978	0,81
27 Lugo	De 45 a 49 años	1977	1,64
27 Lugo	De 45 a 49 años	1976	1,3
27 Lugo	De 45 a 49 años	1975	1,1
27 Lugo	50 y más años	2023	0,41
27 Lugo	50 y más años	2022	0
27 Lugo	50 y más años	2021	0,41
27 Lugo	50 y más años	2020	0
27 Lugo	50 y más años	2019	0,79
27 Lugo	50 y más años	2018	0,4
27 Lugo	50 y más años	2017	0
27 Lugo	50 y más años	2016	0
27 Lugo	50 y más años	2015	1,18
27 Lugo	50 y más años	2014	0,79
27 Lugo	50 y más años	2013	0,4
27 Lugo	50 y más años	2012	0
27 Lugo	50 y más años	2011	0,78
27 Lugo	50 y más años	2010	0,4
27 Lugo	50 y más años	2009	0
27 Lugo	50 y más años	2008	1,24
27 Lugo	50 y más años	2007	0
27 Lugo	50 y más años	2006	0
27 Lugo	50 y más años	2005	0,46
27 Lugo	50 y más años	2004	0,93
27 Lugo	50 y más años	2003	0
27 Lugo	50 y más años	2002	0
27 Lugo	50 y más años	2001	0
27 Lugo	50 y más años	2000	1,01
27 Lugo	50 y más años	1999	0
27 Lugo	50 y más años	1998	0
27 Lugo	50 y más años	1997	0
27 Lugo	50 y más años	1996	0
27 Lugo	50 y más años	1995	0
27 Lugo	50 y más años	1994	0
27 Lugo	50 y más años	1993	0,46
27 Lugo	50 y más años	1992	0
27 Lugo	50 y más años	1991	0
27 Lugo	50 y más años	1990	0,49
27 Lugo	50 y más años	1989	0,55
27 Lugo	50 y más años	1988	0
27 Lugo	50 y más años	1987	0
27 Lugo	50 y más años	1986	0,68
27 Lugo	50 y más años	1985	0,7
27 Lugo	50 y más años	1984	0,34
27 Lugo	50 y más años	1983	0,33
27 Lugo	50 y más años	1982	0
27 Lugo	50 y más años	1981	0,35
27 Lugo	50 y más años	1980	0,34
27 Lugo	50 y más años	1979	0,34
27 Lugo	50 y más años	1978	0,35
27 Lugo	50 y más años	1977	0,71
27 Lugo	50 y más años	1976	1,37
27 Lugo	50 y más años	1975	0,34
28 Madrid	De 10 a 14 años	2023	0,07
28 Madrid	De 10 a 14 años	2022	0,06
28 Madrid	De 10 a 14 años	2021	0,03
28 Madrid	De 10 a 14 años	2020	0,05
28 Madrid	De 10 a 14 años	2019	0,08
28 Madrid	De 10 a 14 años	2018	0,08
28 Madrid	De 10 a 14 años	2017	0,07
28 Madrid	De 10 a 14 años	2016	0,11
28 Madrid	De 10 a 14 años	2015	0,11
28 Madrid	De 10 a 14 años	2014	0,16
28 Madrid	De 10 a 14 años	2013	0,17
28 Madrid	De 10 a 14 años	2012	0,14
28 Madrid	De 10 a 14 años	2011	0,24
28 Madrid	De 10 a 14 años	2010	0,14
28 Madrid	De 10 a 14 años	2009	0,2
28 Madrid	De 10 a 14 años	2008	0,27
28 Madrid	De 10 a 14 años	2007	0,2
28 Madrid	De 10 a 14 años	2006	0,14
28 Madrid	De 10 a 14 años	2005	0,17
28 Madrid	De 10 a 14 años	2004	0,17
28 Madrid	De 10 a 14 años	2003	0,2
28 Madrid	De 10 a 14 años	2002	0,21
28 Madrid	De 10 a 14 años	2001	0,07
28 Madrid	De 10 a 14 años	2000	0
28 Madrid	De 10 a 14 años	1999	0
28 Madrid	De 10 a 14 años	1998	0,01
28 Madrid	De 10 a 14 años	1997	0,08
28 Madrid	De 10 a 14 años	1996	0,05
28 Madrid	De 10 a 14 años	1995	0,09
28 Madrid	De 10 a 14 años	1994	0,03
28 Madrid	De 10 a 14 años	1993	0,08
28 Madrid	De 10 a 14 años	1992	0,04
28 Madrid	De 10 a 14 años	1991	0,05
28 Madrid	De 10 a 14 años	1990	0,04
28 Madrid	De 10 a 14 años	1989	0,04
28 Madrid	De 10 a 14 años	1988	0,06
28 Madrid	De 10 a 14 años	1987	0,06
28 Madrid	De 10 a 14 años	1986	0,06
28 Madrid	De 10 a 14 años	1985	0,13
28 Madrid	De 10 a 14 años	1984	0,08
28 Madrid	De 10 a 14 años	1983	0,16
28 Madrid	De 10 a 14 años	1982	0,15
28 Madrid	De 10 a 14 años	1981	0,12
28 Madrid	De 10 a 14 años	1980	0,13
28 Madrid	De 10 a 14 años	1979	0,2
28 Madrid	De 10 a 14 años	1978	0,22
28 Madrid	De 10 a 14 años	1977	0,13
28 Madrid	De 10 a 14 años	1976	0,13
28 Madrid	De 10 a 14 años	1975	0,17
28 Madrid	De 15 a 19 años	2023	3,79
28 Madrid	De 15 a 19 años	2022	4,06
28 Madrid	De 15 a 19 años	2021	3,65
28 Madrid	De 15 a 19 años	2020	4,56
28 Madrid	De 15 a 19 años	2019	5,28
28 Madrid	De 15 a 19 años	2018	5,83
28 Madrid	De 15 a 19 años	2017	6,37
28 Madrid	De 15 a 19 años	2016	6,64
28 Madrid	De 15 a 19 años	2015	7,6
28 Madrid	De 15 a 19 años	2014	7,62
28 Madrid	De 15 a 19 años	2013	8,11
28 Madrid	De 15 a 19 años	2012	8,83
28 Madrid	De 15 a 19 años	2011	9,54
28 Madrid	De 15 a 19 años	2010	9,55
28 Madrid	De 15 a 19 años	2009	11,89
28 Madrid	De 15 a 19 años	2008	13,23
28 Madrid	De 15 a 19 años	2007	12,39
28 Madrid	De 15 a 19 años	2006	12,02
28 Madrid	De 15 a 19 años	2005	9,99
28 Madrid	De 15 a 19 años	2004	9,77
28 Madrid	De 15 a 19 años	2003	10
28 Madrid	De 15 a 19 años	2002	8,79
28 Madrid	De 15 a 19 años	2001	7,48
28 Madrid	De 15 a 19 años	2000	6,22
28 Madrid	De 15 a 19 años	1999	5,45
28 Madrid	De 15 a 19 años	1998	4,5
28 Madrid	De 15 a 19 años	1997	4,3
28 Madrid	De 15 a 19 años	1996	4,03
28 Madrid	De 15 a 19 años	1995	4,16
28 Madrid	De 15 a 19 años	1994	4,71
28 Madrid	De 15 a 19 años	1993	5,29
28 Madrid	De 15 a 19 años	1992	6,11
28 Madrid	De 15 a 19 años	1991	6,8
28 Madrid	De 15 a 19 años	1990	7,2
28 Madrid	De 15 a 19 años	1989	8,27
28 Madrid	De 15 a 19 años	1988	9,83
28 Madrid	De 15 a 19 años	1987	10,62
28 Madrid	De 15 a 19 años	1986	11,6
28 Madrid	De 15 a 19 años	1985	12,59
28 Madrid	De 15 a 19 años	1984	13,8
28 Madrid	De 15 a 19 años	1983	13,98
28 Madrid	De 15 a 19 años	1982	14,53
28 Madrid	De 15 a 19 años	1981	16,11
28 Madrid	De 15 a 19 años	1980	18,31
28 Madrid	De 15 a 19 años	1979	20,96
28 Madrid	De 15 a 19 años	1978	21,48
28 Madrid	De 15 a 19 años	1977	22,36
28 Madrid	De 15 a 19 años	1976	22,21
28 Madrid	De 15 a 19 años	1975	19,58
28 Madrid	De 20 a 24 años	2023	16,41
28 Madrid	De 20 a 24 años	2022	16,59
28 Madrid	De 20 a 24 años	2021	16,52
28 Madrid	De 20 a 24 años	2020	18,93
28 Madrid	De 20 a 24 años	2019	20,22
28 Madrid	De 20 a 24 años	2018	20,35
28 Madrid	De 20 a 24 años	2017	21,55
28 Madrid	De 20 a 24 años	2016	21,93
28 Madrid	De 20 a 24 años	2015	22,6
28 Madrid	De 20 a 24 años	2014	23,82
28 Madrid	De 20 a 24 años	2013	24,11
28 Madrid	De 20 a 24 años	2012	26,97
28 Madrid	De 20 a 24 años	2011	27,39
28 Madrid	De 20 a 24 años	2010	30,41
28 Madrid	De 20 a 24 años	2009	32,29
28 Madrid	De 20 a 24 años	2008	35,71
28 Madrid	De 20 a 24 años	2007	33,34
28 Madrid	De 20 a 24 años	2006	29,43
28 Madrid	De 20 a 24 años	2005	27,63
28 Madrid	De 20 a 24 años	2004	27,93
28 Madrid	De 20 a 24 años	2003	25,51
28 Madrid	De 20 a 24 años	2002	24,99
28 Madrid	De 20 a 24 años	2001	22,5
28 Madrid	De 20 a 24 años	2000	18,94
28 Madrid	De 20 a 24 años	1999	16
28 Madrid	De 20 a 24 años	1998	14,61
28 Madrid	De 20 a 24 años	1997	15,72
28 Madrid	De 20 a 24 años	1996	15,81
28 Madrid	De 20 a 24 años	1995	18,06
28 Madrid	De 20 a 24 años	1994	21,13
28 Madrid	De 20 a 24 años	1993	25,67
28 Madrid	De 20 a 24 años	1992	29,34
28 Madrid	De 20 a 24 años	1991	32,16
28 Madrid	De 20 a 24 años	1990	36,29
28 Madrid	De 20 a 24 años	1989	41,46
28 Madrid	De 20 a 24 años	1988	44,48
28 Madrid	De 20 a 24 años	1987	47,63
28 Madrid	De 20 a 24 años	1986	52,21
28 Madrid	De 20 a 24 años	1985	58,72
28 Madrid	De 20 a 24 años	1984	65,8
28 Madrid	De 20 a 24 años	1983	72,19
28 Madrid	De 20 a 24 años	1982	83,16
28 Madrid	De 20 a 24 años	1981	91,82
28 Madrid	De 20 a 24 años	1980	102,41
28 Madrid	De 20 a 24 años	1979	113,51
28 Madrid	De 20 a 24 años	1978	124,75
28 Madrid	De 20 a 24 años	1977	135,95
28 Madrid	De 20 a 24 años	1976	145,67
28 Madrid	De 20 a 24 años	1975	135,22
28 Madrid	De 25 a 29 años	2023	36,08
28 Madrid	De 25 a 29 años	2022	37,47
28 Madrid	De 25 a 29 años	2021	36,84
28 Madrid	De 25 a 29 años	2020	39,04
28 Madrid	De 25 a 29 años	2019	41,21
28 Madrid	De 25 a 29 años	2018	44,26
28 Madrid	De 25 a 29 años	2017	47,69
28 Madrid	De 25 a 29 años	2016	50,3
28 Madrid	De 25 a 29 años	2015	51,91
28 Madrid	De 25 a 29 años	2014	52,58
28 Madrid	De 25 a 29 años	2013	50,24
28 Madrid	De 25 a 29 años	2012	51,03
28 Madrid	De 25 a 29 años	2011	51,74
28 Madrid	De 25 a 29 años	2010	53,85
28 Madrid	De 25 a 29 años	2009	54,85
28 Madrid	De 25 a 29 años	2008	59,43
28 Madrid	De 25 a 29 años	2007	57,27
28 Madrid	De 25 a 29 años	2006	56,56
28 Madrid	De 25 a 29 años	2005	55,41
28 Madrid	De 25 a 29 años	2004	57,34
28 Madrid	De 25 a 29 años	2003	57,7
28 Madrid	De 25 a 29 años	2002	56,89
28 Madrid	De 25 a 29 años	2001	57,22
28 Madrid	De 25 a 29 años	2000	57,68
28 Madrid	De 25 a 29 años	1999	55,55
28 Madrid	De 25 a 29 años	1998	56,03
28 Madrid	De 25 a 29 años	1997	60,75
28 Madrid	De 25 a 29 años	1996	65,64
28 Madrid	De 25 a 29 años	1995	69,45
28 Madrid	De 25 a 29 años	1994	75,94
28 Madrid	De 25 a 29 años	1993	84,43
28 Madrid	De 25 a 29 años	1992	90,68
28 Madrid	De 25 a 29 años	1991	92,56
28 Madrid	De 25 a 29 años	1990	97,11
28 Madrid	De 25 a 29 años	1989	99,8
28 Madrid	De 25 a 29 años	1988	103,26
28 Madrid	De 25 a 29 años	1987	109,59
28 Madrid	De 25 a 29 años	1986	111,16
28 Madrid	De 25 a 29 años	1985	116,66
28 Madrid	De 25 a 29 años	1984	120,54
28 Madrid	De 25 a 29 años	1983	125,57
28 Madrid	De 25 a 29 años	1982	133,51
28 Madrid	De 25 a 29 años	1981	139,25
28 Madrid	De 25 a 29 años	1980	148,42
28 Madrid	De 25 a 29 años	1979	165,3
28 Madrid	De 25 a 29 años	1978	177,41
28 Madrid	De 25 a 29 años	1977	188,86
28 Madrid	De 25 a 29 años	1976	205,6
28 Madrid	De 25 a 29 años	1975	204,59
28 Madrid	De 30 a 34 años	2023	73,52
28 Madrid	De 30 a 34 años	2022	75,56
28 Madrid	De 30 a 34 años	2021	78,17
28 Madrid	De 30 a 34 años	2020	76,99
28 Madrid	De 30 a 34 años	2019	82,79
28 Madrid	De 30 a 34 años	2018	86,58
28 Madrid	De 30 a 34 años	2017	91,13
28 Madrid	De 30 a 34 años	2016	95,18
28 Madrid	De 30 a 34 años	2015	96,05
28 Madrid	De 30 a 34 años	2014	93,51
28 Madrid	De 30 a 34 años	2013	89,48
28 Madrid	De 30 a 34 años	2012	90,47
28 Madrid	De 30 a 34 años	2011	94,25
28 Madrid	De 30 a 34 años	2010	94,38
28 Madrid	De 30 a 34 años	2009	96,91
28 Madrid	De 30 a 34 años	2008	100,1
28 Madrid	De 30 a 34 años	2007	98,29
28 Madrid	De 30 a 34 años	2006	101,07
28 Madrid	De 30 a 34 años	2005	100,81
28 Madrid	De 30 a 34 años	2004	102,67
28 Madrid	De 30 a 34 años	2003	103,63
28 Madrid	De 30 a 34 años	2002	101,7
28 Madrid	De 30 a 34 años	2001	102,03
28 Madrid	De 30 a 34 años	2000	101,28
28 Madrid	De 30 a 34 años	1999	95,93
28 Madrid	De 30 a 34 años	1998	92,63
28 Madrid	De 30 a 34 años	1997	93,53
28 Madrid	De 30 a 34 años	1996	90,49
28 Madrid	De 30 a 34 años	1995	88,24
28 Madrid	De 30 a 34 años	1994	86,76
28 Madrid	De 30 a 34 años	1993	87,05
28 Madrid	De 30 a 34 años	1992	86,8
28 Madrid	De 30 a 34 años	1991	81,73
28 Madrid	De 30 a 34 años	1990	79,51
28 Madrid	De 30 a 34 años	1989	78,7
28 Madrid	De 30 a 34 años	1988	76,24
28 Madrid	De 30 a 34 años	1987	76,3
28 Madrid	De 30 a 34 años	1986	77,34
28 Madrid	De 30 a 34 años	1985	76,77
28 Madrid	De 30 a 34 años	1984	81,05
28 Madrid	De 30 a 34 años	1983	78,15
28 Madrid	De 30 a 34 años	1982	84,58
28 Madrid	De 30 a 34 años	1981	87,63
28 Madrid	De 30 a 34 años	1980	92,07
28 Madrid	De 30 a 34 años	1979	103,05
28 Madrid	De 30 a 34 años	1978	112,54
28 Madrid	De 30 a 34 años	1977	119,74
28 Madrid	De 30 a 34 años	1976	128,12
28 Madrid	De 30 a 34 años	1975	133,09
28 Madrid	De 35 a 39 años	2023	68,08
28 Madrid	De 35 a 39 años	2022	70,69
28 Madrid	De 35 a 39 años	2021	71,26
28 Madrid	De 35 a 39 años	2020	69,06
28 Madrid	De 35 a 39 años	2019	72,77
28 Madrid	De 35 a 39 años	2018	73,09
28 Madrid	De 35 a 39 años	2017	75,62
28 Madrid	De 35 a 39 años	2016	76,13
28 Madrid	De 35 a 39 años	2015	74,76
28 Madrid	De 35 a 39 años	2014	72,38
28 Madrid	De 35 a 39 años	2013	69,55
28 Madrid	De 35 a 39 años	2012	71,44
28 Madrid	De 35 a 39 años	2011	71,75
28 Madrid	De 35 a 39 años	2010	71,41
28 Madrid	De 35 a 39 años	2009	69,72
28 Madrid	De 35 a 39 años	2008	69,74
28 Madrid	De 35 a 39 años	2007	66,13
28 Madrid	De 35 a 39 años	2006	62,81
28 Madrid	De 35 a 39 años	2005	60,42
28 Madrid	De 35 a 39 años	2004	59,9
28 Madrid	De 35 a 39 años	2003	57,94
28 Madrid	De 35 a 39 años	2002	54,87
28 Madrid	De 35 a 39 años	2001	54,27
28 Madrid	De 35 a 39 años	2000	50,18
28 Madrid	De 35 a 39 años	1999	45,68
28 Madrid	De 35 a 39 años	1998	41,14
28 Madrid	De 35 a 39 años	1997	38,06
28 Madrid	De 35 a 39 años	1996	35,42
28 Madrid	De 35 a 39 años	1995	34,17
28 Madrid	De 35 a 39 años	1994	32,4
28 Madrid	De 35 a 39 años	1993	31,77
28 Madrid	De 35 a 39 años	1992	31,06
28 Madrid	De 35 a 39 años	1991	28,6
28 Madrid	De 35 a 39 años	1990	28,74
28 Madrid	De 35 a 39 años	1989	28,71
28 Madrid	De 35 a 39 años	1988	28,29
28 Madrid	De 35 a 39 años	1987	30,17
28 Madrid	De 35 a 39 años	1986	31,04
28 Madrid	De 35 a 39 años	1985	32,86
28 Madrid	De 35 a 39 años	1984	34,27
28 Madrid	De 35 a 39 años	1983	35,2
28 Madrid	De 35 a 39 años	1982	37,61
28 Madrid	De 35 a 39 años	1981	41,35
28 Madrid	De 35 a 39 años	1980	43,32
28 Madrid	De 35 a 39 años	1979	49,02
28 Madrid	De 35 a 39 años	1978	55,09
28 Madrid	De 35 a 39 años	1977	57,08
28 Madrid	De 35 a 39 años	1976	62,67
28 Madrid	De 35 a 39 años	1975	65,76
28 Madrid	De 40 a 44 años	2023	19,59
28 Madrid	De 40 a 44 años	2022	20,03
28 Madrid	De 40 a 44 años	2021	19,63
28 Madrid	De 40 a 44 años	2020	19
28 Madrid	De 40 a 44 años	2019	20,06
28 Madrid	De 40 a 44 años	2018	20,49
28 Madrid	De 40 a 44 años	2017	20,39
28 Madrid	De 40 a 44 años	2016	20,09
28 Madrid	De 40 a 44 años	2015	19,98
28 Madrid	De 40 a 44 años	2014	19,31
28 Madrid	De 40 a 44 años	2013	17,92
28 Madrid	De 40 a 44 años	2012	17,4
28 Madrid	De 40 a 44 años	2011	16,02
28 Madrid	De 40 a 44 años	2010	14,81
28 Madrid	De 40 a 44 años	2009	14,4
28 Madrid	De 40 a 44 años	2008	13,37
28 Madrid	De 40 a 44 años	2007	12,64
28 Madrid	De 40 a 44 años	2006	11,83
28 Madrid	De 40 a 44 años	2005	11,29
28 Madrid	De 40 a 44 años	2004	11,01
28 Madrid	De 40 a 44 años	2003	9,91
28 Madrid	De 40 a 44 años	2002	9,31
28 Madrid	De 40 a 44 años	2001	8,49
28 Madrid	De 40 a 44 años	2000	7,5
28 Madrid	De 40 a 44 años	1999	6,76
28 Madrid	De 40 a 44 años	1998	6,22
28 Madrid	De 40 a 44 años	1997	5,77
28 Madrid	De 40 a 44 años	1996	5,43
28 Madrid	De 40 a 44 años	1995	5,26
28 Madrid	De 40 a 44 años	1994	5,21
28 Madrid	De 40 a 44 años	1993	5,19
28 Madrid	De 40 a 44 años	1992	5,24
28 Madrid	De 40 a 44 años	1991	5,4
28 Madrid	De 40 a 44 años	1990	5,51
28 Madrid	De 40 a 44 años	1989	5,75
28 Madrid	De 40 a 44 años	1988	6,65
28 Madrid	De 40 a 44 años	1987	6,77
28 Madrid	De 40 a 44 años	1986	7,96
28 Madrid	De 40 a 44 años	1985	9,11
28 Madrid	De 40 a 44 años	1984	9,38
28 Madrid	De 40 a 44 años	1983	9,59
28 Madrid	De 40 a 44 años	1982	11
28 Madrid	De 40 a 44 años	1981	11,65
28 Madrid	De 40 a 44 años	1980	12,88
28 Madrid	De 40 a 44 años	1979	13,98
28 Madrid	De 40 a 44 años	1978	16,78
28 Madrid	De 40 a 44 años	1977	19,36
28 Madrid	De 40 a 44 años	1976	20,75
28 Madrid	De 40 a 44 años	1975	22,92
28 Madrid	De 45 a 49 años	2023	1,9
28 Madrid	De 45 a 49 años	2022	2,11
28 Madrid	De 45 a 49 años	2021	2,06
28 Madrid	De 45 a 49 años	2020	1,73
28 Madrid	De 45 a 49 años	2019	1,91
28 Madrid	De 45 a 49 años	2018	1,95
28 Madrid	De 45 a 49 años	2017	1,99
28 Madrid	De 45 a 49 años	2016	1,6
28 Madrid	De 45 a 49 años	2015	1,41
28 Madrid	De 45 a 49 años	2014	1,3
28 Madrid	De 45 a 49 años	2013	1,11
28 Madrid	De 45 a 49 años	2012	1,1
28 Madrid	De 45 a 49 años	2011	1,07
28 Madrid	De 45 a 49 años	2010	1,09
28 Madrid	De 45 a 49 años	2009	1,16
28 Madrid	De 45 a 49 años	2008	1,03
28 Madrid	De 45 a 49 años	2007	0,9
28 Madrid	De 45 a 49 años	2006	0,79
28 Madrid	De 45 a 49 años	2005	0,59
28 Madrid	De 45 a 49 años	2004	0,53
28 Madrid	De 45 a 49 años	2003	0,54
28 Madrid	De 45 a 49 años	2002	0,47
28 Madrid	De 45 a 49 años	2001	0,44
28 Madrid	De 45 a 49 años	2000	0,43
28 Madrid	De 45 a 49 años	1999	0,28
28 Madrid	De 45 a 49 años	1998	0,29
28 Madrid	De 45 a 49 años	1997	0,22
28 Madrid	De 45 a 49 años	1996	0,2
28 Madrid	De 45 a 49 años	1995	0,26
28 Madrid	De 45 a 49 años	1994	0,24
28 Madrid	De 45 a 49 años	1993	0,19
28 Madrid	De 45 a 49 años	1992	0,22
28 Madrid	De 45 a 49 años	1991	0,23
28 Madrid	De 45 a 49 años	1990	0,37
28 Madrid	De 45 a 49 años	1989	0,36
28 Madrid	De 45 a 49 años	1988	0,27
28 Madrid	De 45 a 49 años	1987	0,41
28 Madrid	De 45 a 49 años	1986	0,43
28 Madrid	De 45 a 49 años	1985	0,85
28 Madrid	De 45 a 49 años	1984	0,81
28 Madrid	De 45 a 49 años	1983	0,74
28 Madrid	De 45 a 49 años	1982	0,96
28 Madrid	De 45 a 49 años	1981	0,94
28 Madrid	De 45 a 49 años	1980	1,16
28 Madrid	De 45 a 49 años	1979	1,26
28 Madrid	De 45 a 49 años	1978	1,38
28 Madrid	De 45 a 49 años	1977	1,61
28 Madrid	De 45 a 49 años	1976	1,84
28 Madrid	De 45 a 49 años	1975	1,82
28 Madrid	50 y más años	2023	0,66
28 Madrid	50 y más años	2022	0,85
28 Madrid	50 y más años	2021	0,77
28 Madrid	50 y más años	2020	0,57
28 Madrid	50 y más años	2019	0,72
28 Madrid	50 y más años	2018	0,99
28 Madrid	50 y más años	2017	0,6
28 Madrid	50 y más años	2016	0,61
28 Madrid	50 y más años	2015	0,45
28 Madrid	50 y más años	2014	0,56
28 Madrid	50 y más años	2013	0,35
28 Madrid	50 y más años	2012	0,74
28 Madrid	50 y más años	2011	0,52
28 Madrid	50 y más años	2010	0,46
28 Madrid	50 y más años	2009	0,71
28 Madrid	50 y más años	2008	0,54
28 Madrid	50 y más años	2007	0,31
28 Madrid	50 y más años	2006	0,32
28 Madrid	50 y más años	2005	0,21
28 Madrid	50 y más años	2004	0,13
28 Madrid	50 y más años	2003	0,13
28 Madrid	50 y más años	2002	0,28
28 Madrid	50 y más años	2001	0,2
28 Madrid	50 y más años	2000	0
28 Madrid	50 y más años	1999	0,05
28 Madrid	50 y más años	1998	0
28 Madrid	50 y más años	1997	0,03
28 Madrid	50 y más años	1996	0
28 Madrid	50 y más años	1995	0,03
28 Madrid	50 y más años	1994	0
28 Madrid	50 y más años	1993	0,1
28 Madrid	50 y más años	1992	0
28 Madrid	50 y más años	1991	0,03
28 Madrid	50 y más años	1990	0
28 Madrid	50 y más años	1989	0
28 Madrid	50 y más años	1988	0
28 Madrid	50 y más años	1987	0,07
28 Madrid	50 y más años	1986	0,03
28 Madrid	50 y más años	1985	0,31
28 Madrid	50 y más años	1984	0,5
28 Madrid	50 y más años	1983	0,36
28 Madrid	50 y más años	1982	0,72
28 Madrid	50 y más años	1981	0,51
28 Madrid	50 y más años	1980	0,71
28 Madrid	50 y más años	1979	0,28
28 Madrid	50 y más años	1978	0,51
28 Madrid	50 y más años	1977	0,42
28 Madrid	50 y más años	1976	0,5
28 Madrid	50 y más años	1975	0,72
29 Málaga	De 10 a 14 años	2023	0
29 Málaga	De 10 a 14 años	2022	0,08
29 Málaga	De 10 a 14 años	2021	0,06
29 Málaga	De 10 a 14 años	2020	0,02
29 Málaga	De 10 a 14 años	2019	0,06
29 Málaga	De 10 a 14 años	2018	0,09
29 Málaga	De 10 a 14 años	2017	0,13
29 Málaga	De 10 a 14 años	2016	0,07
29 Málaga	De 10 a 14 años	2015	0,09
29 Málaga	De 10 a 14 años	2014	0,07
29 Málaga	De 10 a 14 años	2013	0,12
29 Málaga	De 10 a 14 años	2012	0,05
29 Málaga	De 10 a 14 años	2011	0,13
29 Málaga	De 10 a 14 años	2010	0,03
29 Málaga	De 10 a 14 años	2009	0,08
29 Málaga	De 10 a 14 años	2008	0,21
29 Málaga	De 10 a 14 años	2007	0,21
29 Málaga	De 10 a 14 años	2006	0,08
29 Málaga	De 10 a 14 años	2005	0,18
29 Málaga	De 10 a 14 años	2004	0,18
29 Málaga	De 10 a 14 años	2003	0,23
29 Málaga	De 10 a 14 años	2002	0,13
29 Málaga	De 10 a 14 años	2001	0,18
29 Málaga	De 10 a 14 años	2000	0,21
29 Málaga	De 10 a 14 años	1999	0,13
29 Málaga	De 10 a 14 años	1998	0,1
29 Málaga	De 10 a 14 años	1997	0,05
29 Málaga	De 10 a 14 años	1996	0,05
29 Málaga	De 10 a 14 años	1995	0,2
29 Málaga	De 10 a 14 años	1994	0,09
29 Málaga	De 10 a 14 años	1993	0
29 Málaga	De 10 a 14 años	1992	0,08
29 Málaga	De 10 a 14 años	1991	0,14
29 Málaga	De 10 a 14 años	1990	0,22
29 Málaga	De 10 a 14 años	1989	0,16
29 Málaga	De 10 a 14 años	1988	0,12
29 Málaga	De 10 a 14 años	1987	0,12
29 Málaga	De 10 a 14 años	1986	0,2
29 Málaga	De 10 a 14 años	1985	0,18
29 Málaga	De 10 a 14 años	1984	0,39
29 Málaga	De 10 a 14 años	1983	0,33
29 Málaga	De 10 a 14 años	1982	0,51
29 Málaga	De 10 a 14 años	1981	0,57
29 Málaga	De 10 a 14 años	1980	0,45
29 Málaga	De 10 a 14 años	1979	0,29
29 Málaga	De 10 a 14 años	1978	0,37
29 Málaga	De 10 a 14 años	1977	0,36
29 Málaga	De 10 a 14 años	1976	0,19
29 Málaga	De 10 a 14 años	1975	0,2
29 Málaga	De 15 a 19 años	2023	4,51
29 Málaga	De 15 a 19 años	2022	4,78
29 Málaga	De 15 a 19 años	2021	5,6
29 Málaga	De 15 a 19 años	2020	5,6
29 Málaga	De 15 a 19 años	2019	6,25
29 Málaga	De 15 a 19 años	2018	6,7
29 Málaga	De 15 a 19 años	2017	7,65
